,verdict,buying,maint,doors,persons,lug_boot,safety,condprob
0,unacc,med,med,4,2,small,med,1.0
1,good,med,low,2,more,big,med,1.0
2,unacc,high,high,2,2,small,med,1.0
3,acc,vhigh,vhigh,3,2,big,low,0.25
4,vgood,low,low,4,more,med,high,1.0
5,unacc,high,med,2,more,small,med,1.0
6,unacc,med,vhigh,4,2,med,med,1.0
7,unacc,vhigh,high,5more,more,med,low,1.0
8,unacc,high,vhigh,5more,4,small,med,1.0
9,unacc,med,low,4,2,med,med,1.0
10,unacc,vhigh,low,2,2,med,med,1.0
11,acc,low,high,2,4,med,med,1.0
12,unacc,med,med,3,2,small,high,1.0
13,good,low,low,3,4,med,high,1.0
14,acc,low,vhigh,4,4,med,high,1.0
15,unacc,low,med,4,2,small,low,1.0
16,unacc,low,vhigh,4,4,small,low,1.0
17,acc,low,vhigh,3,more,med,med,1.0
18,acc,low,vhigh,4,more,big,med,1.0
19,acc,med,vhigh,5more,more,med,high,1.0
20,acc,high,high,2,4,med,high,0.5
21,unacc,vhigh,high,2,4,small,high,1.0
22,acc,low,low,4,more,small,med,1.0
23,unacc,high,med,3,4,small,low,1.0
24,good,low,med,3,more,med,med,1.0
25,acc,low,med,3,more,small,med,1.0
26,unacc,vhigh,vhigh,4,2,small,high,1.0
27,acc,med,high,4,more,med,high,1.0
28,unacc,high,vhigh,4,4,small,low,1.0
29,unacc,vhigh,low,3,2,big,high,1.0
30,unacc,high,low,2,more,med,med,1.0
31,unacc,med,med,4,4,big,low,1.0
32,unacc,high,low,4,4,small,med,1.0
33,unacc,med,med,5more,2,med,high,1.0
34,vgood,low,high,2,more,big,high,1.0
35,acc,high,med,2,more,med,high,1.0
36,unacc,med,high,4,2,big,high,1.0
37,acc,med,high,3,more,big,high,1.0
38,unacc,low,med,4,4,big,low,1.0
39,good,low,med,2,4,small,high,1.0
40,unacc,high,high,5more,more,big,low,1.0
41,unacc,low,med,5more,2,big,med,1.0
42,unacc,low,vhigh,5more,more,big,low,1.0
43,unacc,low,low,2,4,small,low,1.0
44,acc,med,high,5more,more,big,med,1.0
45,unacc,low,vhigh,5more,2,small,med,1.0
46,unacc,high,low,5more,2,big,low,1.0
47,unacc,med,med,2,more,big,low,1.0
48,good,low,med,2,more,med,high,1.0
49,unacc,vhigh,vhigh,5more,4,big,med,1.0
50,unacc,vhigh,high,3,4,big,low,1.0
51,acc,low,med,3,4,small,med,1.0
52,unacc,high,med,5more,4,small,med,1.0
53,unacc,high,high,4,2,big,high,1.0
54,unacc,low,vhigh,3,2,big,low,1.0
55,acc,vhigh,med,4,more,med,med,1.0
56,unacc,vhigh,high,2,more,small,high,1.0
57,unacc,high,vhigh,4,4,med,low,1.0
58,good,low,low,2,more,med,high,1.0
59,unacc,med,low,5more,2,small,low,1.0
60,acc,low,vhigh,4,more,med,high,1.0
61,unacc,vhigh,low,5more,more,big,low,1.0
62,acc,med,med,3,more,small,high,1.0
63,unacc,vhigh,vhigh,4,more,small,low,1.0
64,unacc,med,med,3,more,big,low,1.0
65,unacc,high,high,4,more,med,low,1.0
66,unacc,vhigh,high,4,4,big,high,1.0
67,acc,vhigh,low,2,more,med,high,1.0
68,acc,med,high,4,more,big,high,1.0
69,unacc,low,high,3,2,small,high,1.0
70,unacc,vhigh,high,2,more,small,med,1.0
71,unacc,low,vhigh,2,more,big,low,1.0
72,unacc,med,low,3,2,med,high,1.0
73,unacc,high,high,2,2,big,med,1.0
74,acc,med,low,5more,more,small,med,1.0
75,acc,med,high,4,more,med,med,1.0
76,unacc,high,vhigh,2,4,med,high,1.0
77,unacc,high,high,4,more,big,med,0.5
78,acc,low,med,2,more,med,med,1.0
79,unacc,vhigh,vhigh,5more,2,big,high,1.0
80,unacc,med,vhigh,2,more,med,med,1.0
81,unacc,low,low,5more,2,med,med,1.0
82,unacc,low,high,5more,4,big,low,1.0
83,acc,low,high,3,4,small,high,1.0
84,unacc,vhigh,low,5more,2,med,high,1.0
85,unacc,med,high,2,4,med,low,1.0
86,acc,med,med,3,more,big,med,1.0
87,unacc,vhigh,high,2,4,big,low,1.0
88,unacc,vhigh,vhigh,2,4,big,high,0.75
89,unacc,vhigh,low,4,2,big,high,1.0
90,good,low,low,4,4,big,med,1.0
91,unacc,low,low,3,2,med,med,1.0
92,unacc,vhigh,high,2,more,med,high,1.0
93,acc,low,vhigh,3,more,med,high,1.0
94,unacc,low,med,2,2,big,high,1.0
95,unacc,vhigh,low,5more,2,med,med,1.0
96,unacc,vhigh,high,3,2,big,low,1.0
97,unacc,med,low,2,more,med,low,1.0
98,unacc,vhigh,vhigh,5more,2,small,low,1.0
99,good,med,low,4,4,big,med,1.0
100,acc,vhigh,med,2,more,big,med,1.0
101,acc,high,med,2,more,big,med,1.0
102,unacc,vhigh,vhigh,4,2,med,high,1.0
103,unacc,low,low,3,2,med,high,1.0
104,unacc,vhigh,high,3,4,med,high,1.0
105,acc,vhigh,low,4,4,big,high,1.0
106,unacc,vhigh,high,2,more,med,med,1.0
107,unacc,high,med,4,more,med,low,1.0
108,unacc,vhigh,low,5more,more,small,med,1.0
109,unacc,high,low,2,more,small,med,1.0
110,unacc,low,vhigh,3,2,small,med,1.0
111,acc,high,low,3,more,small,high,1.0
112,acc,med,high,2,4,big,high,1.0
113,unacc,low,med,3,2,med,med,1.0
114,unacc,med,high,5more,4,big,low,1.0
115,acc,med,med,5more,more,big,med,1.0
116,acc,vhigh,vhigh,3,2,small,high,0.25
117,unacc,vhigh,high,5more,4,med,high,1.0
118,unacc,vhigh,med,5more,2,big,low,1.0
119,unacc,high,high,3,2,small,high,1.0
120,acc,med,med,5more,more,small,high,1.0
121,unacc,med,med,4,more,small,low,1.0
122,acc,high,high,5more,4,small,high,0.5
123,unacc,med,low,4,2,big,high,1.0
124,unacc,low,med,5more,more,big,low,1.0
125,unacc,vhigh,high,5more,2,small,low,1.0
126,vgood,low,med,2,more,big,high,1.0
127,unacc,high,low,4,more,big,low,1.0
128,unacc,med,vhigh,5more,2,small,high,1.0
129,unacc,high,vhigh,5more,more,small,med,1.0
130,acc,med,med,2,more,med,high,1.0
131,acc,high,med,3,more,med,high,1.0
132,unacc,vhigh,high,4,4,big,med,1.0
133,unacc,low,med,4,2,med,high,1.0
134,unacc,med,med,5more,2,small,med,1.0
135,unacc,low,high,3,2,small,med,1.0
136,unacc,high,vhigh,2,2,big,high,1.0
137,unacc,vhigh,low,2,more,med,med,1.0
138,acc,vhigh,med,5more,more,big,med,1.0
139,acc,low,high,5more,more,med,med,1.0
140,vgood,low,low,5more,4,big,high,1.0
141,acc,vhigh,low,5more,4,med,high,1.0
142,unacc,low,med,2,2,small,high,1.0
143,good,med,low,5more,more,med,med,1.0
144,vgood,low,low,5more,more,big,high,1.0
145,unacc,med,low,5more,2,med,med,1.0
146,acc,high,med,3,more,med,med,1.0
147,acc,vhigh,vhigh,2,4,med,high,0.25
148,unacc,low,vhigh,5more,2,big,high,1.0
149,unacc,high,med,3,2,small,med,1.0
150,unacc,low,low,3,4,small,low,1.0
151,unacc,vhigh,low,2,2,big,low,1.0
152,good,med,low,2,4,small,high,1.0
153,acc,high,low,5more,4,big,high,1.0
154,unacc,high,low,3,4,med,low,1.0
155,acc,vhigh,low,5more,4,med,med,1.0
156,unacc,high,med,5more,more,small,med,1.0
157,acc,med,vhigh,2,4,big,med,1.0
158,unacc,med,vhigh,3,more,small,low,1.0
159,acc,vhigh,vhigh,2,more,med,med,0.25
160,unacc,vhigh,vhigh,3,more,med,high,1.0
161,unacc,low,low,3,2,small,low,1.0
162,unacc,vhigh,high,2,2,big,med,1.0
163,unacc,low,vhigh,5more,more,med,low,1.0
164,acc,vhigh,vhigh,2,4,small,low,0.25
165,acc,low,high,3,4,big,med,1.0
166,acc,med,low,3,more,small,med,1.0
167,unacc,vhigh,high,3,4,big,med,1.0
168,unacc,high,high,2,2,big,low,1.0
169,unacc,vhigh,low,3,4,med,med,1.0
170,acc,high,med,5more,4,med,high,1.0
171,unacc,med,med,2,2,big,high,1.0
172,unacc,vhigh,vhigh,5more,more,small,low,1.0
173,unacc,high,high,3,4,big,low,1.0
174,unacc,med,high,3,more,med,low,1.0
175,unacc,med,low,2,2,med,med,1.0
176,unacc,high,vhigh,2,2,med,low,1.0
177,acc,low,vhigh,5more,more,small,high,1.0
178,unacc,high,med,5more,2,small,low,1.0
179,acc,vhigh,vhigh,2,more,small,low,0.25
180,unacc,high,low,3,4,small,med,1.0
181,unacc,med,vhigh,3,2,med,med,1.0
182,unacc,high,low,4,2,big,med,1.0
183,unacc,vhigh,low,5more,2,med,low,1.0
184,unacc,low,high,3,2,med,med,1.0
185,unacc,med,high,2,2,big,high,1.0
186,unacc,high,high,2,more,big,high,0.5
187,unacc,low,vhigh,3,2,big,high,1.0
188,acc,high,low,4,4,big,high,1.0
189,unacc,med,vhigh,2,more,big,low,1.0
190,acc,vhigh,vhigh,2,2,big,low,0.25
191,unacc,low,med,5more,more,small,low,1.0
192,acc,med,vhigh,5more,4,big,high,1.0
193,unacc,vhigh,vhigh,3,4,big,low,1.0
194,unacc,high,low,4,2,med,low,1.0
195,acc,med,high,5more,more,big,high,1.0
196,unacc,low,med,4,4,small,low,1.0
197,unacc,low,low,4,4,med,low,1.0
198,unacc,vhigh,high,5more,2,small,med,1.0
199,unacc,high,low,3,more,med,low,1.0
200,unacc,low,high,3,4,big,low,1.0
201,acc,med,med,4,more,small,high,1.0
202,unacc,high,med,5more,2,big,high,1.0
203,unacc,vhigh,high,2,more,big,low,1.0
204,acc,high,high,5more,more,small,high,0.5
205,unacc,high,vhigh,5more,2,small,high,1.0
206,acc,high,med,5more,4,small,high,1.0
207,unacc,high,vhigh,4,4,small,high,1.0
208,vgood,med,med,4,4,med,high,1.0
209,acc,high,high,2,more,big,high,0.5
210,unacc,high,high,5more,4,big,med,0.5
211,acc,vhigh,vhigh,3,2,med,med,0.25
212,unacc,high,med,4,4,med,low,1.0
213,acc,med,high,5more,4,big,med,1.0
214,unacc,vhigh,low,5more,4,small,med,1.0
215,unacc,low,vhigh,2,2,small,med,1.0
216,unacc,low,vhigh,2,4,med,low,1.0
217,acc,med,med,2,4,small,high,1.0
218,unacc,high,high,2,more,med,low,1.0
219,unacc,vhigh,vhigh,5more,2,small,high,1.0
220,unacc,high,high,3,more,med,low,1.0
221,acc,vhigh,vhigh,2,2,med,med,0.3333333333333333
222,unacc,low,high,3,2,med,high,1.0
223,unacc,high,low,2,2,big,high,1.0
224,vgood,low,med,3,4,big,high,1.0
225,acc,med,vhigh,5more,4,small,high,1.0
226,unacc,high,med,4,4,big,low,1.0
227,unacc,high,high,4,4,small,low,1.0
228,acc,vhigh,vhigh,3,2,med,high,0.25
229,unacc,low,vhigh,5more,2,med,high,1.0
230,acc,med,vhigh,2,4,big,high,1.0
231,unacc,vhigh,vhigh,4,2,big,low,1.0
232,unacc,high,vhigh,3,2,small,med,1.0
233,acc,low,vhigh,3,4,big,high,1.0
234,unacc,low,high,3,2,big,med,1.0
235,unacc,low,vhigh,5more,2,small,low,1.0
236,unacc,low,low,5more,2,big,med,1.0
237,good,med,low,3,4,med,high,1.0
238,acc,low,high,4,4,small,high,1.0
239,acc,med,med,4,4,med,med,1.0
240,unacc,vhigh,low,2,2,small,low,1.0
241,acc,vhigh,low,4,4,med,med,1.0
242,acc,high,med,5more,4,med,med,1.0
243,acc,low,vhigh,4,4,big,med,1.0
244,unacc,high,med,2,more,med,low,1.0
245,acc,vhigh,med,2,4,small,high,1.0
246,unacc,high,high,2,more,med,med,1.0
247,unacc,high,med,2,2,med,low,1.0
248,unacc,high,vhigh,4,more,big,low,1.0
249,unacc,low,med,2,more,small,high,1.0
250,acc,vhigh,med,4,4,big,high,1.0
251,good,med,low,4,more,small,high,1.0
252,unacc,vhigh,vhigh,5more,more,big,low,1.0
253,unacc,vhigh,high,5more,more,small,low,1.0
254,vgood,med,med,2,more,big,high,1.0
255,acc,high,high,5more,more,big,med,0.5
256,unacc,med,high,2,more,big,low,1.0
257,acc,high,low,4,4,big,med,1.0
258,unacc,vhigh,low,2,2,small,med,1.0
259,unacc,vhigh,vhigh,5more,4,small,high,1.0
260,unacc,med,vhigh,3,2,small,high,1.0
261,unacc,low,med,2,more,small,med,1.0
262,acc,vhigh,low,3,more,big,high,1.0
263,unacc,vhigh,vhigh,3,4,small,med,1.0
264,unacc,high,vhigh,2,more,small,high,1.0
265,unacc,low,vhigh,3,2,med,med,1.0
266,unacc,high,vhigh,3,more,big,med,1.0
267,unacc,vhigh,low,2,4,small,low,1.0
268,acc,med,high,5more,4,med,med,1.0
269,good,low,med,4,4,med,med,1.0
270,acc,med,med,5more,more,small,med,1.0
271,unacc,high,vhigh,3,2,med,low,1.0
272,unacc,vhigh,med,5more,more,small,med,1.0
273,vgood,med,low,4,more,big,high,1.0
274,unacc,vhigh,vhigh,4,2,big,med,1.0
275,unacc,vhigh,vhigh,2,4,med,low,0.75
276,unacc,med,med,3,2,small,low,1.0
277,acc,high,med,5more,more,small,high,1.0
278,unacc,high,high,2,2,med,high,1.0
279,unacc,vhigh,low,4,2,med,med,1.0
280,acc,vhigh,vhigh,3,2,small,low,0.25
281,unacc,high,vhigh,3,more,small,high,1.0
282,unacc,low,low,3,2,small,med,1.0
283,unacc,high,high,2,2,small,low,1.0
284,unacc,med,high,2,4,med,med,1.0
285,good,low,med,5more,more,big,med,1.0
286,unacc,low,low,4,more,med,low,1.0
287,acc,med,low,2,more,med,med,1.0
288,unacc,med,low,4,2,small,med,1.0
289,acc,vhigh,low,3,4,big,med,1.0
290,acc,vhigh,vhigh,3,2,med,low,0.25
291,unacc,low,med,4,2,med,med,1.0
292,unacc,high,vhigh,5more,2,small,med,1.0
293,unacc,low,med,4,2,med,low,1.0
294,unacc,low,low,2,2,small,high,1.0
295,unacc,vhigh,low,4,4,big,low,1.0
296,unacc,high,low,4,4,small,low,1.0
297,unacc,vhigh,med,3,4,med,low,1.0
298,unacc,high,med,2,4,big,low,1.0
299,acc,high,low,2,more,med,high,1.0
300,unacc,high,vhigh,4,4,big,low,1.0
301,acc,vhigh,vhigh,2,2,small,high,0.6666666666666666
302,unacc,vhigh,vhigh,5more,more,med,low,1.0
303,unacc,low,low,4,2,big,low,1.0
304,unacc,high,high,2,4,big,high,0.5
305,unacc,vhigh,high,4,2,med,low,1.0
306,vgood,low,low,3,more,big,high,1.0
307,unacc,high,med,5more,2,small,high,1.0
308,acc,low,low,5more,4,small,med,1.0
309,unacc,high,high,5more,4,med,low,1.0
310,unacc,med,low,5more,more,small,low,1.0
311,unacc,med,low,2,4,med,low,1.0
312,vgood,low,low,3,more,med,high,1.0
313,unacc,vhigh,low,5more,4,med,low,1.0
314,unacc,high,vhigh,5more,more,small,low,1.0
315,unacc,low,med,3,4,med,low,1.0
316,acc,high,med,2,4,big,high,1.0
317,acc,high,med,4,4,med,med,1.0
318,acc,high,high,2,more,big,med,0.5
319,unacc,med,low,4,4,small,low,1.0
320,acc,high,med,4,more,med,high,1.0
321,unacc,vhigh,low,4,2,small,low,1.0
322,unacc,med,high,3,2,big,high,1.0
323,unacc,low,vhigh,5more,4,small,med,1.0
324,unacc,med,low,5more,2,med,high,1.0
325,unacc,med,vhigh,2,more,small,low,1.0
326,unacc,high,high,2,more,med,high,0.5
327,vgood,med,med,3,more,big,high,1.0
328,unacc,vhigh,high,4,more,big,low,1.0
329,unacc,high,med,5more,2,small,med,1.0
330,unacc,high,med,3,2,med,low,1.0
331,unacc,low,low,4,2,med,low,1.0
332,acc,high,low,5more,more,med,med,1.0
333,unacc,med,high,2,2,small,low,1.0
334,vgood,low,high,2,4,big,high,1.0
335,acc,vhigh,vhigh,2,4,big,low,0.25
336,acc,vhigh,vhigh,2,more,big,med,0.25
337,unacc,vhigh,vhigh,2,4,small,med,0.75
338,unacc,vhigh,vhigh,2,more,big,med,0.75
339,vgood,low,low,4,4,med,high,1.0
340,unacc,med,high,2,more,small,high,1.0
341,unacc,vhigh,high,4,4,big,low,1.0
342,unacc,high,med,4,2,med,low,1.0
343,acc,vhigh,low,3,more,med,high,1.0
344,unacc,low,low,4,2,small,low,1.0
345,unacc,vhigh,high,4,2,med,high,1.0
346,unacc,low,high,2,2,small,med,1.0
347,unacc,vhigh,med,3,2,small,high,1.0
348,unacc,vhigh,high,5more,2,big,med,1.0
349,unacc,med,high,5more,2,big,med,1.0
350,unacc,high,high,3,more,small,low,1.0
351,unacc,vhigh,vhigh,4,4,med,med,1.0
352,unacc,high,low,4,more,small,low,1.0
353,acc,high,high,5more,4,med,high,0.5
354,unacc,med,vhigh,2,more,med,low,1.0
355,vgood,low,high,3,more,big,high,1.0
356,unacc,vhigh,low,4,2,med,low,1.0
357,unacc,med,high,2,more,small,med,1.0
358,unacc,vhigh,low,5more,2,small,med,1.0
359,unacc,low,med,4,2,big,high,1.0
360,acc,med,med,5more,more,med,med,1.0
361,unacc,high,vhigh,3,4,big,low,1.0
362,unacc,high,med,3,2,big,high,1.0
363,unacc,high,high,3,more,med,high,0.5
364,unacc,high,high,2,4,med,low,1.0
365,unacc,low,vhigh,2,2,med,high,1.0
366,unacc,high,vhigh,2,2,med,med,1.0
367,unacc,vhigh,vhigh,2,2,med,high,0.6666666666666666
368,unacc,vhigh,vhigh,4,4,small,med,1.0
369,good,low,low,5more,4,big,med,1.0
370,unacc,high,vhigh,3,4,big,med,1.0
371,unacc,vhigh,high,3,more,small,high,1.0
372,unacc,med,low,2,2,big,high,1.0
373,good,med,low,3,4,small,high,1.0
374,unacc,high,high,4,4,med,med,0.5
375,unacc,vhigh,vhigh,2,2,small,med,0.3333333333333333
376,acc,med,high,4,4,med,high,1.0
377,unacc,high,high,4,2,med,med,1.0
378,acc,high,low,3,more,big,high,1.0
379,acc,high,high,5more,4,big,high,0.5
380,unacc,vhigh,med,4,2,big,high,1.0
381,unacc,med,low,4,2,big,low,1.0
382,acc,high,high,2,4,small,high,0.5
383,unacc,vhigh,low,2,more,med,low,1.0
384,unacc,med,vhigh,2,2,med,med,1.0
385,acc,high,high,3,4,big,high,0.5
386,unacc,med,vhigh,2,more,small,high,1.0
387,unacc,high,vhigh,4,4,med,med,1.0
388,acc,vhigh,med,4,more,small,high,1.0
389,unacc,low,med,2,2,med,high,1.0
390,unacc,med,high,3,2,med,high,1.0
391,unacc,med,vhigh,3,4,med,med,1.0
392,acc,low,high,2,more,med,med,1.0
393,unacc,med,med,3,2,big,med,1.0
394,vgood,low,high,4,4,big,high,1.0
395,unacc,high,high,5more,4,med,med,0.5
396,unacc,high,med,4,2,big,high,1.0
397,unacc,med,low,4,4,big,low,1.0
398,unacc,med,vhigh,2,2,med,high,1.0
399,unacc,high,med,3,more,med,low,1.0
400,vgood,low,low,5more,4,med,high,1.0
401,unacc,high,low,5more,more,med,low,1.0
402,acc,high,high,4,4,med,med,0.5
403,unacc,high,vhigh,3,4,med,low,1.0
404,unacc,med,vhigh,5more,2,small,low,1.0
405,unacc,vhigh,med,3,more,med,low,1.0
406,unacc,vhigh,high,3,2,med,high,1.0
407,acc,high,low,4,4,med,med,1.0
408,acc,vhigh,low,5more,more,big,med,1.0
409,unacc,vhigh,high,2,2,small,low,1.0
410,unacc,low,high,5more,4,med,low,1.0
411,unacc,high,low,3,2,small,low,1.0
412,unacc,high,high,3,2,small,low,1.0
413,acc,low,high,2,4,med,high,1.0
414,unacc,high,vhigh,4,2,big,med,1.0
415,acc,vhigh,vhigh,2,2,small,low,0.6666666666666666
416,unacc,high,vhigh,2,4,med,low,1.0
417,acc,vhigh,vhigh,2,4,med,low,0.25
418,unacc,low,med,5more,2,med,med,1.0
419,unacc,low,med,3,2,med,low,1.0
420,unacc,high,vhigh,3,4,small,low,1.0
421,unacc,low,high,2,2,med,high,1.0
422,acc,vhigh,med,5more,more,small,high,1.0
423,unacc,med,vhigh,3,2,big,high,1.0
424,acc,high,med,5more,more,med,high,1.0
425,acc,vhigh,vhigh,2,more,big,low,0.25
426,acc,high,low,4,more,big,med,1.0
427,good,low,med,2,4,big,med,1.0
428,unacc,high,med,3,2,small,high,1.0
429,unacc,med,med,5more,4,small,low,1.0
430,unacc,high,vhigh,2,2,small,low,1.0
431,unacc,high,vhigh,4,more,med,high,1.0
432,unacc,high,high,5more,more,med,low,1.0
433,vgood,low,high,5more,more,med,high,1.0
434,acc,low,high,2,4,big,med,1.0
435,acc,low,vhigh,4,more,med,med,1.0
436,unacc,vhigh,low,2,more,small,med,1.0
437,good,low,low,4,more,small,high,1.0
438,vgood,low,low,2,more,big,high,1.0
439,unacc,vhigh,vhigh,3,more,med,low,1.0
440,unacc,med,vhigh,4,more,small,med,1.0
441,unacc,med,high,4,more,med,low,1.0
442,good,low,low,2,4,big,med,1.0
443,unacc,vhigh,high,2,2,big,low,1.0
444,unacc,vhigh,vhigh,4,4,big,high,1.0
445,unacc,low,med,3,4,small,low,1.0
446,unacc,vhigh,low,3,more,med,low,1.0
447,acc,high,med,4,more,small,high,1.0
448,unacc,low,low,3,2,med,low,1.0
449,unacc,low,high,5more,2,med,high,1.0
450,acc,vhigh,vhigh,2,4,small,high,0.25
451,unacc,low,med,5more,2,small,high,1.0
452,acc,vhigh,vhigh,2,more,big,high,0.25
453,unacc,med,high,4,2,med,med,1.0
454,unacc,vhigh,low,4,more,big,low,1.0
