,verdict,buying,maint,doors,persons,lug_boot,safety,condprob
1356,unacc,vhigh,vhigh,3,4,big,high,1.0
1357,unacc,vhigh,vhigh,4,2,small,med,1.0
1358,acc,vhigh,vhigh,2,2,big,high,0.25
1359,unacc,low,vhigh,5more,4,big,low,1.0
1360,unacc,high,low,5more,2,small,low,1.0
1361,acc,med,high,2,more,big,med,1.0
1362,unacc,med,med,4,2,med,med,1.0
1363,unacc,low,vhigh,2,4,small,low,1.0
1364,unacc,low,low,2,2,med,med,1.0
1365,unacc,vhigh,med,5more,2,small,med,1.0
1366,acc,med,high,3,4,med,high,1.0
1367,unacc,vhigh,med,3,2,med,high,1.0
1368,acc,vhigh,low,4,more,big,high,1.0
1369,vgood,low,med,4,more,big,high,1.0
1370,unacc,med,low,4,2,med,high,1.0
1371,unacc,med,vhigh,5more,2,big,low,1.0
1372,unacc,low,low,5more,2,small,med,1.0
1373,unacc,med,high,3,2,small,high,1.0
1374,acc,med,vhigh,5more,4,big,med,1.0
1375,unacc,high,low,2,more,med,low,1.0
1376,unacc,vhigh,med,4,more,med,low,1.0
1377,unacc,vhigh,high,2,2,small,med,1.0
1378,unacc,med,low,5more,2,big,med,1.0
1379,good,low,med,4,more,med,med,1.0
1380,unacc,high,med,3,4,small,med,1.0
1381,unacc,vhigh,low,3,4,small,low,1.0
1382,vgood,low,med,3,more,med,high,1.0
1383,unacc,low,low,3,2,big,med,1.0
1384,unacc,med,low,5more,4,big,low,1.0
1385,unacc,vhigh,med,5more,2,med,low,1.0
1386,unacc,high,low,2,2,small,high,1.0
1387,unacc,vhigh,med,2,2,med,med,1.0
1388,vgood,med,med,3,4,big,high,1.0
1389,unacc,vhigh,med,2,more,med,med,1.0
1390,unacc,low,med,4,more,small,low,1.0
1391,acc,vhigh,med,3,more,big,med,1.0
1392,unacc,high,vhigh,5more,more,big,high,1.0
1393,unacc,low,vhigh,2,more,small,high,1.0
1394,acc,low,vhigh,5more,more,med,high,1.0
1395,unacc,high,high,5more,4,med,high,0.5
1396,unacc,low,high,5more,2,big,low,1.0
1397,unacc,vhigh,high,4,more,small,med,1.0
1398,unacc,high,med,3,more,big,low,1.0
1399,unacc,med,vhigh,5more,4,med,low,1.0
1400,acc,high,high,2,more,med,high,0.5
1401,acc,vhigh,vhigh,3,2,small,med,0.25
1402,unacc,med,vhigh,4,2,med,low,1.0
1403,unacc,vhigh,vhigh,4,more,small,med,1.0
1404,unacc,high,low,2,4,big,low,1.0
1405,unacc,low,med,4,4,med,low,1.0
1406,unacc,med,med,5more,2,small,low,1.0
1407,unacc,low,low,2,2,small,low,1.0
1408,unacc,low,vhigh,4,4,big,low,1.0
1409,unacc,vhigh,med,2,2,small,med,1.0
1410,acc,high,low,5more,4,big,med,1.0
1411,unacc,med,vhigh,5more,2,small,med,1.0
1412,unacc,high,high,2,2,big,high,1.0
1413,acc,high,low,2,more,big,med,1.0
1414,acc,low,vhigh,4,more,big,high,1.0
1415,acc,high,high,5more,more,med,med,0.5
1416,unacc,vhigh,high,4,more,med,low,1.0
1417,unacc,vhigh,low,2,4,med,med,1.0
1418,acc,vhigh,vhigh,2,4,big,high,0.25
1419,unacc,high,low,5more,more,small,low,1.0
1420,unacc,high,high,2,more,big,low,1.0
1421,unacc,med,high,2,2,big,low,1.0
1422,acc,vhigh,med,2,more,big,high,1.0
1423,acc,vhigh,med,5more,4,small,high,1.0
1424,acc,vhigh,med,5more,more,big,high,1.0
1425,acc,vhigh,med,3,4,big,high,1.0
1426,unacc,vhigh,low,4,more,small,low,1.0
1427,unacc,low,vhigh,3,2,small,high,1.0
1428,unacc,vhigh,low,4,4,med,low,1.0
1429,unacc,med,vhigh,4,2,med,high,1.0
1430,unacc,vhigh,high,5more,2,med,low,1.0
1431,unacc,vhigh,low,3,2,small,med,1.0
1432,unacc,med,low,3,4,small,low,1.0
1433,unacc,high,high,5more,more,med,high,0.5
1434,unacc,med,vhigh,5more,2,big,med,1.0
1435,unacc,low,low,2,2,med,low,1.0
1436,vgood,low,high,4,4,med,high,1.0
1437,unacc,vhigh,vhigh,4,more,med,low,1.0
1438,unacc,low,med,4,2,small,med,1.0
1439,unacc,high,vhigh,3,4,small,med,1.0
1440,unacc,med,med,4,2,med,high,1.0
1441,unacc,med,high,2,4,small,low,1.0
1442,unacc,vhigh,vhigh,3,2,small,low,0.75
1443,unacc,low,vhigh,4,more,med,low,1.0
1444,unacc,med,med,5more,more,small,low,1.0
1445,unacc,med,high,4,2,big,low,1.0
1446,unacc,low,vhigh,2,2,big,high,1.0
1447,acc,vhigh,vhigh,2,more,med,low,0.25
1448,unacc,vhigh,med,5more,2,big,high,1.0
1449,unacc,med,med,3,4,med,low,1.0
1450,unacc,med,med,4,4,med,low,1.0
1451,unacc,vhigh,high,3,4,big,high,1.0
1452,unacc,med,vhigh,5more,4,big,low,1.0
1453,unacc,vhigh,high,3,4,med,low,1.0
1454,acc,med,med,4,4,small,high,1.0
1455,unacc,high,med,3,4,med,low,1.0
1456,unacc,vhigh,vhigh,4,more,big,low,1.0
1457,unacc,med,vhigh,3,more,big,low,1.0
1458,unacc,vhigh,med,4,2,small,high,1.0
1459,unacc,vhigh,med,2,more,small,low,1.0
1460,unacc,high,vhigh,4,4,big,high,1.0
1461,unacc,high,low,2,2,small,med,1.0
1462,good,med,low,5more,more,small,high,1.0
1463,unacc,high,med,3,4,med,med,1.0
1464,acc,vhigh,low,4,4,small,high,1.0
1465,unacc,vhigh,high,4,more,med,high,1.0
1466,unacc,high,low,5more,2,small,high,1.0
1467,unacc,vhigh,low,2,more,big,low,1.0
1468,unacc,vhigh,low,3,2,med,low,1.0
1469,acc,low,vhigh,5more,4,big,med,1.0
1470,unacc,high,med,2,2,big,med,1.0
1471,acc,vhigh,low,2,4,med,high,1.0
1472,unacc,low,med,2,4,small,low,1.0
1473,unacc,med,low,3,2,big,high,1.0
1474,unacc,vhigh,high,3,2,small,med,1.0
1475,unacc,med,vhigh,3,2,big,low,1.0
1476,unacc,vhigh,med,5more,4,small,low,1.0
1477,unacc,low,vhigh,4,2,small,high,1.0
1478,unacc,vhigh,high,5more,4,big,low,1.0
1479,unacc,med,med,5more,4,big,low,1.0
1480,good,low,low,3,more,big,med,1.0
1481,unacc,low,low,4,2,med,med,1.0
1482,acc,vhigh,low,4,more,med,med,1.0
1483,unacc,vhigh,high,3,more,big,low,1.0
1484,unacc,high,high,4,more,small,low,1.0
1485,acc,low,med,2,4,small,med,1.0
1486,unacc,vhigh,med,3,4,small,med,1.0
1487,unacc,vhigh,high,5more,2,med,med,1.0
1488,unacc,low,med,3,2,big,low,1.0
1489,unacc,med,med,5more,2,med,low,1.0
1490,vgood,med,med,2,4,big,high,1.0
1491,acc,med,low,4,4,small,med,1.0
1492,unacc,vhigh,high,4,2,big,med,1.0
1493,unacc,vhigh,vhigh,4,4,big,low,1.0
1494,unacc,high,med,2,more,big,low,1.0
1495,unacc,vhigh,vhigh,3,more,big,high,1.0
1496,unacc,high,low,3,more,small,low,1.0
1497,unacc,high,high,5more,more,small,high,0.5
1498,unacc,low,med,2,more,small,low,1.0
1499,unacc,med,low,2,2,med,low,1.0
1500,unacc,vhigh,vhigh,2,4,big,med,0.75
1501,unacc,low,low,5more,4,small,low,1.0
1502,unacc,low,high,5more,more,med,low,1.0
1503,acc,vhigh,vhigh,2,4,big,med,0.25
1504,unacc,med,high,2,2,small,med,1.0
1505,unacc,high,med,4,more,big,low,1.0
1506,acc,low,vhigh,4,more,small,high,1.0
1507,unacc,med,med,2,more,small,med,1.0
1508,unacc,vhigh,high,2,2,med,med,1.0
1509,vgood,low,low,4,more,big,high,1.0
1510,unacc,low,low,2,more,big,low,1.0
1511,unacc,med,high,5more,2,med,high,1.0
1512,unacc,high,vhigh,3,2,med,high,1.0
1513,acc,med,vhigh,4,4,big,med,1.0
1514,unacc,high,low,5more,4,med,low,1.0
1515,unacc,high,low,4,4,big,low,1.0
1516,unacc,med,high,5more,4,small,low,1.0
1517,unacc,high,high,5more,2,small,low,1.0
1518,unacc,low,low,4,4,big,low,1.0
1519,unacc,high,low,4,2,big,high,1.0
1520,unacc,high,vhigh,5more,4,big,high,1.0
1521,unacc,low,low,3,more,big,low,1.0
1522,unacc,high,vhigh,5more,more,small,high,1.0
1523,unacc,vhigh,high,5more,more,med,high,1.0
1524,unacc,vhigh,vhigh,4,2,big,high,1.0
1525,unacc,vhigh,low,5more,2,big,med,1.0
1526,unacc,med,vhigh,2,4,small,low,1.0
1527,acc,med,med,5more,4,small,high,1.0
1528,good,low,med,5more,4,small,high,1.0
1529,unacc,high,high,4,4,small,high,0.5
1530,acc,med,low,5more,4,small,med,1.0
1531,unacc,med,vhigh,4,2,big,high,1.0
1532,unacc,med,low,5more,2,big,high,1.0
1533,unacc,vhigh,vhigh,2,more,small,high,0.75
1534,unacc,low,low,2,more,small,low,1.0
1535,unacc,vhigh,vhigh,4,2,med,low,1.0
1536,acc,high,low,2,4,small,high,1.0
1537,unacc,vhigh,med,3,4,small,low,1.0
1538,unacc,med,vhigh,2,4,med,low,1.0
1539,acc,low,low,3,4,small,med,1.0
1540,unacc,vhigh,med,3,2,big,low,1.0
1541,unacc,med,med,5more,2,big,high,1.0
1542,good,med,low,2,more,med,high,1.0
1543,unacc,vhigh,med,5more,2,med,high,1.0
1544,unacc,vhigh,vhigh,3,more,big,med,1.0
1545,unacc,vhigh,high,4,4,small,high,1.0
1546,unacc,low,vhigh,4,2,small,med,1.0
1547,unacc,high,high,5more,more,big,high,0.5
1548,unacc,low,vhigh,3,2,big,med,1.0
1549,unacc,med,high,3,more,small,low,1.0
1550,acc,vhigh,low,4,4,big,med,1.0
1551,acc,low,high,3,4,med,high,1.0
1552,vgood,low,high,4,more,big,high,1.0
1553,vgood,low,med,4,more,med,high,1.0
1554,acc,low,high,4,more,med,med,1.0
1555,unacc,high,low,3,4,big,low,1.0
1556,unacc,low,vhigh,5more,4,med,low,1.0
1557,unacc,vhigh,high,3,2,small,low,1.0
1558,unacc,high,high,5more,more,big,med,0.5
1559,unacc,med,low,4,more,med,low,1.0
1560,unacc,vhigh,vhigh,2,4,big,low,0.75
1561,unacc,high,low,2,2,med,med,1.0
1562,unacc,med,vhigh,4,2,small,med,1.0
1563,unacc,med,high,2,2,big,med,1.0
1564,unacc,low,vhigh,5more,2,med,med,1.0
1565,unacc,low,high,5more,2,big,med,1.0
1566,acc,vhigh,vhigh,2,4,med,med,0.25
1567,acc,high,med,3,more,big,high,1.0
1568,acc,vhigh,med,5more,4,big,med,1.0
1569,unacc,med,vhigh,2,2,big,med,1.0
1570,acc,vhigh,med,3,4,small,high,1.0
1571,unacc,vhigh,low,5more,4,big,low,1.0
1572,unacc,vhigh,high,5more,more,small,med,1.0
1573,unacc,high,low,2,more,big,low,1.0
1574,unacc,vhigh,low,3,more,small,med,1.0
1575,unacc,low,low,3,more,small,low,1.0
1576,acc,vhigh,med,3,4,med,high,1.0
1577,unacc,vhigh,low,3,2,med,high,1.0
1578,acc,vhigh,low,3,more,med,med,1.0
1579,unacc,low,vhigh,3,more,big,low,1.0
1580,unacc,low,med,5more,2,small,med,1.0
1581,unacc,vhigh,vhigh,4,4,med,low,1.0
1582,acc,vhigh,med,5more,4,big,high,1.0
1583,unacc,vhigh,high,5more,4,big,med,1.0
1584,unacc,low,low,5more,4,big,low,1.0
1585,acc,low,vhigh,2,more,big,high,1.0
1586,unacc,high,med,4,2,med,high,1.0
1587,unacc,low,vhigh,2,4,small,med,1.0
1588,unacc,med,high,2,2,med,high,1.0
1589,unacc,vhigh,high,5more,more,med,med,1.0
1590,unacc,vhigh,vhigh,5more,4,small,med,1.0
1591,unacc,high,high,5more,2,small,med,1.0
1592,unacc,med,low,5more,more,med,low,1.0
1593,unacc,low,low,5more,2,med,low,1.0
1594,unacc,vhigh,vhigh,3,more,small,high,1.0
1595,acc,high,low,3,4,big,high,1.0
1596,unacc,high,high,2,more,big,med,0.5
1597,unacc,vhigh,low,2,more,small,low,1.0
1598,unacc,high,med,3,2,med,high,1.0
1599,acc,low,high,2,4,small,med,1.0
1600,acc,high,high,4,4,big,high,0.5
1601,unacc,med,low,5more,2,big,low,1.0
1602,unacc,vhigh,vhigh,5more,more,med,high,1.0
1603,unacc,med,low,3,2,small,med,1.0
1604,unacc,med,med,3,4,small,low,1.0
1605,unacc,vhigh,med,5more,2,med,med,1.0
1606,unacc,high,vhigh,4,4,med,high,1.0
1607,unacc,med,high,4,more,big,low,1.0
1608,acc,high,high,5more,more,big,high,0.5
1609,acc,high,med,3,4,med,high,1.0
1610,unacc,vhigh,vhigh,2,4,med,high,0.75
1611,unacc,med,low,3,more,big,low,1.0
1612,unacc,vhigh,high,4,4,med,low,1.0
1613,unacc,high,high,3,more,small,med,1.0
1614,unacc,high,med,5more,4,small,low,1.0
1615,unacc,low,vhigh,3,4,small,low,1.0
1616,unacc,med,med,2,2,big,low,1.0
1617,unacc,high,high,3,4,med,high,0.5
1618,acc,low,low,4,4,small,med,1.0
1619,unacc,high,med,3,2,med,med,1.0
1620,unacc,high,high,4,more,small,med,1.0
1621,acc,high,low,3,more,big,med,1.0
1622,unacc,med,low,3,more,med,low,1.0
1623,unacc,high,low,4,2,big,low,1.0
1624,unacc,vhigh,high,2,2,med,high,1.0
1625,unacc,high,med,5more,4,med,low,1.0
1626,acc,high,low,4,4,med,high,1.0
1627,unacc,vhigh,low,4,2,med,high,1.0
1628,unacc,vhigh,vhigh,3,2,small,med,0.75
1629,unacc,low,high,5more,2,big,high,1.0
1630,unacc,med,low,5more,2,med,low,1.0
1631,acc,low,vhigh,2,4,big,high,1.0
1632,unacc,vhigh,vhigh,4,4,big,med,1.0
1633,acc,med,vhigh,3,4,big,med,1.0
1634,acc,low,high,5more,4,small,med,1.0
1635,unacc,high,vhigh,2,2,small,high,1.0
1636,acc,med,med,4,more,big,med,1.0
1637,unacc,vhigh,low,3,2,med,med,1.0
1638,unacc,vhigh,vhigh,5more,more,small,med,1.0
1639,unacc,med,vhigh,3,4,big,low,1.0
1640,unacc,high,med,3,4,big,low,1.0
1641,unacc,vhigh,high,4,more,big,high,1.0
1642,unacc,low,low,5more,2,big,high,1.0
1643,unacc,vhigh,high,4,2,small,low,1.0
1644,unacc,high,low,3,2,med,med,1.0
1645,unacc,vhigh,low,4,2,small,high,1.0
1646,unacc,high,low,5more,more,big,low,1.0
1647,acc,med,vhigh,3,more,big,med,1.0
1648,acc,vhigh,low,5more,more,med,high,1.0
1649,unacc,med,high,3,2,big,low,1.0
1650,unacc,high,med,4,2,med,med,1.0
1651,acc,high,high,4,more,big,high,0.5
1652,unacc,med,vhigh,3,4,small,med,1.0
1653,unacc,vhigh,med,5more,4,small,med,1.0
1654,unacc,high,vhigh,5more,2,big,low,1.0
1655,unacc,high,vhigh,4,more,big,high,1.0
1656,vgood,low,med,4,4,med,high,1.0
1657,unacc,low,vhigh,3,more,small,low,1.0
1658,acc,med,med,5more,4,big,med,1.0
1659,unacc,low,high,5more,2,med,med,1.0
1660,unacc,med,high,2,more,small,low,1.0
1661,acc,high,low,5more,more,small,high,1.0
1662,unacc,high,low,2,4,med,low,1.0
1663,unacc,high,high,3,2,med,high,1.0
1664,unacc,low,vhigh,3,4,med,low,1.0
1665,unacc,med,high,3,2,big,med,1.0
1666,unacc,vhigh,high,5more,more,big,med,1.0
1667,acc,med,vhigh,3,more,med,high,1.0
1668,acc,high,low,5more,4,med,med,1.0
1669,unacc,vhigh,high,5more,4,small,med,1.0
1670,acc,high,med,3,more,small,high,1.0
1671,unacc,vhigh,high,5more,2,big,low,1.0
1672,acc,med,med,3,4,small,med,1.0
1673,unacc,med,vhigh,5more,4,small,low,1.0
1674,unacc,high,high,2,4,big,med,0.5
1675,good,low,low,4,more,big,med,1.0
1676,unacc,vhigh,vhigh,2,4,med,med,0.75
1677,unacc,vhigh,low,5more,4,small,low,1.0
1678,unacc,low,high,5more,2,small,high,1.0
1679,unacc,med,med,2,2,small,med,1.0
1680,acc,low,high,5more,more,small,med,1.0
1681,acc,med,vhigh,5more,more,big,high,1.0
1682,acc,low,vhigh,5more,4,med,med,1.0
1683,unacc,vhigh,high,3,4,small,med,1.0
1684,acc,low,high,3,more,med,med,1.0
1685,unacc,vhigh,low,5more,more,med,low,1.0
1686,unacc,high,vhigh,4,2,small,low,1.0
1687,unacc,vhigh,med,5more,more,big,low,1.0
1688,acc,high,high,4,4,small,high,0.5
1689,unacc,med,high,2,4,small,med,1.0
1690,unacc,low,vhigh,2,more,small,low,1.0
1691,unacc,low,low,2,2,med,high,1.0
1692,unacc,vhigh,vhigh,5more,2,med,high,1.0
1693,vgood,low,low,4,4,big,high,1.0
1694,acc,vhigh,med,3,more,small,high,1.0
1695,unacc,low,med,2,4,big,low,1.0
1696,unacc,med,low,4,2,small,high,1.0
1697,unacc,vhigh,high,2,2,med,low,1.0
1698,unacc,med,low,2,more,small,high,1.0
1699,unacc,high,low,4,2,small,low,1.0
1700,unacc,med,high,3,4,small,low,1.0
1701,unacc,low,med,5more,more,med,low,1.0
1702,unacc,vhigh,vhigh,3,2,big,high,1.0
1703,unacc,vhigh,high,4,more,small,low,1.0
1704,unacc,vhigh,med,2,2,small,high,1.0
1705,acc,low,high,5more,4,small,high,1.0
1706,acc,high,high,3,more,small,high,0.5
1707,unacc,high,high,2,more,small,high,1.0
1708,acc,vhigh,low,5more,more,big,high,1.0
1709,acc,vhigh,med,3,more,med,high,1.0
1710,unacc,low,high,3,more,small,low,1.0
1711,unacc,high,low,4,2,small,high,1.0
1712,unacc,low,vhigh,2,more,med,low,1.0
1713,unacc,med,high,3,2,small,low,1.0
1714,unacc,high,vhigh,2,4,small,high,1.0
1715,unacc,med,med,2,2,med,med,1.0
1716,unacc,high,med,4,4,small,med,1.0
1717,unacc,vhigh,vhigh,3,more,small,low,1.0
1718,unacc,vhigh,vhigh,3,4,med,med,1.0
1719,acc,high,med,2,4,big,med,1.0
1720,acc,med,vhigh,3,more,big,high,1.0
1721,unacc,high,high,4,more,small,high,0.5
1722,good,low,low,2,4,small,high,1.0
1723,unacc,vhigh,high,2,2,small,high,1.0
1724,unacc,med,vhigh,3,2,big,med,1.0
1725,unacc,med,med,3,2,big,high,1.0
1726,unacc,low,med,2,2,big,low,1.0
1727,unacc,low,med,3,more,big,low,1.0
1728,unacc,med,vhigh,3,4,small,low,1.0
1729,unacc,med,vhigh,5more,2,med,low,1.0
1730,unacc,low,vhigh,2,4,med,med,1.0
1731,acc,med,med,2,4,med,high,1.0
1732,unacc,low,high,4,4,big,low,1.0
1733,unacc,med,med,2,2,med,high,1.0
1734,unacc,med,med,3,4,big,low,1.0
1735,unacc,low,low,5more,2,small,low,1.0
1736,unacc,vhigh,med,5more,more,small,low,1.0
1737,vgood,med,low,5more,more,med,high,1.0
1738,unacc,low,med,2,2,big,med,1.0
1739,unacc,low,high,4,2,big,high,1.0
1740,unacc,low,med,5more,2,small,low,1.0
1741,unacc,high,high,4,more,big,low,1.0
1742,acc,med,high,2,more,big,high,1.0
1743,acc,vhigh,low,5more,more,med,med,1.0
1744,unacc,high,high,2,2,med,low,1.0
1745,acc,high,med,5more,more,big,high,1.0
1746,unacc,high,high,2,4,med,high,0.5
1747,unacc,high,high,4,4,med,low,1.0
1748,unacc,high,med,2,more,small,high,1.0
1749,unacc,high,med,5more,2,med,med,1.0
1750,unacc,low,low,3,4,big,low,1.0
1751,unacc,high,high,4,2,big,med,1.0
1752,acc,high,med,2,4,small,high,1.0
1753,unacc,vhigh,med,3,2,small,low,1.0
1754,unacc,med,high,5more,4,med,low,1.0
1755,unacc,vhigh,vhigh,5more,more,small,high,1.0
1756,unacc,vhigh,vhigh,5more,more,big,med,1.0
1757,acc,low,high,4,4,small,med,1.0
1758,acc,med,vhigh,4,more,big,med,1.0
1759,acc,low,high,4,more,small,high,1.0
1760,unacc,low,high,5more,more,small,low,1.0
1761,acc,low,vhigh,5more,4,med,high,1.0
1762,unacc,high,vhigh,4,2,big,high,1.0
1763,unacc,med,high,4,2,big,med,1.0
1764,unacc,high,high,3,more,med,med,0.5
1765,good,low,low,2,more,big,med,1.0
1766,acc,vhigh,low,5more,more,small,high,1.0
1767,unacc,low,low,3,4,med,low,1.0
1768,acc,low,high,5more,more,big,med,1.0
1769,unacc,vhigh,vhigh,4,4,small,high,1.0
1770,unacc,low,high,4,2,med,low,1.0
1771,unacc,low,high,4,4,med,low,1.0
1772,unacc,high,high,4,4,big,low,1.0
1773,vgood,med,low,3,4,big,high,1.0
1774,vgood,low,high,5more,4,big,high,1.0
1775,unacc,high,high,3,4,small,high,0.5
1776,unacc,med,low,2,2,small,low,1.0
1777,unacc,high,med,5more,more,med,low,1.0
1778,unacc,high,high,4,2,med,low,1.0
1779,unacc,high,med,4,2,big,low,1.0
1780,unacc,med,vhigh,4,more,med,low,1.0
1781,unacc,low,low,5more,2,big,low,1.0
1782,unacc,med,high,3,2,med,low,1.0
1783,acc,med,vhigh,5more,4,med,high,1.0
1784,unacc,high,med,2,2,small,low,1.0
1785,acc,high,high,2,4,big,high,0.5
1786,acc,med,vhigh,5more,more,big,med,1.0
1787,unacc,high,high,3,4,small,med,1.0
1788,acc,vhigh,low,3,4,small,high,1.0
1789,unacc,low,low,3,more,med,low,1.0
1790,good,med,low,3,more,small,high,1.0
1791,unacc,vhigh,high,3,2,med,med,1.0
1792,unacc,med,low,2,2,big,low,1.0
1793,unacc,high,low,2,4,small,low,1.0
1794,unacc,vhigh,high,3,4,small,high,1.0
1795,unacc,high,low,5more,2,big,med,1.0
1796,unacc,vhigh,low,2,2,med,high,1.0
1797,acc,vhigh,low,5more,4,small,high,1.0
